"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
Romania,1952,+137,50.0,+7,209.0,1693,33.0,101.0,3.0,Feb 25
Ecuador,1924,,58.0,,3.0,1863,58.0,109.0,3.0,Feb 28
Japan,1866,,54.0,,424.0,1388,56.0,15.0,0.4,Jan 14
Russia,1836,+302,9.0,+1,66.0,1761,8.0,13.0,0.06,Jan 30
Pakistan,1690,+93,21.0,+7,76.0,1593,11.0,8.0,0.1,Feb 25
Philippines,1546,+128,78.0,+7,42.0,1426,1.0,14.0,0.7,Jan 29
Thailand,1524,+136,9.0,+2,229.0,1286,11.0,22.0,0.1,Jan 12
Saudi Arabia,1453,+154,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
Indonesia,1414,+129,122.0,+8,75.0,1217,,5.0,0.4,Mar 01
Finland,1352,+112,13.0,+2,10.0,1329,49.0,244.0,2.0,Jan 28
South Africa,1326,+46,3.0,+1,31.0,1292,7.0,22.0,0.05,Mar 04
Greece,1212,+56,43.0,+4,52.0,1117,72.0,116.0,4.0,Feb 25
Iceland,1086,+66,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
India,1071,+47,29.0,+2,100.0,942,,0.8,0.02,Jan 29
Mexico,993,+145,20.0,+4,35.0,938,1.0,8.0,0.2,Feb 27
Panama,989,,24.0,,4.0,961,36.0,229.0,6.0,Mar 09
Peru,950,+98,18.0,,16.0,916,40.0,29.0,0.5,Mar 05
Dominican Republic,901,+42,42.0,+3,4.0,855,,83.0,4.0,Feb 29
Singapore,879,+35,3.0,,228.0,648,19.0,150.0,0.5,Jan 22
Argentina,820,,23.0,+3,228.0,569,,18.0,0.5,Mar 02
Croatia,790,+77,6.0,,67.0,717,27.0,192.0,1.0,Feb 24
Serbia,785,+44,16.0,+3,42.0,727,62.0,90.0,2.0,Mar 05
Slovenia,756,+26,11.0,,10.0,735,28.0,364.0,5.0,Mar 03
Estonia,715,+36,3.0,,20.0,692,10.0,539.0,2.0,Feb 26
Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
Colombia,702,,10.0,,10.0,682,29.0,14.0,0.2,Mar 05
Qatar,693,+59,1.0,,51.0,641,6.0,241.0,0.3,Feb 28
Hong Kong,642,,4.0,,118.0,520,5.0,86.0,0.5,Jan 22
Iraq,630,+83,46.0,+4,152.0,432,,16.0,1.0,Feb 21
UAE,611,+41,5.0,+2,61.0,545,2.0,62.0,0.5,Jan 28
Egypt,609,,40.0,,132.0,437,,6.0,0.4,Feb 13
New Zealand,589,+75,1.0,,63.0,525,2.0,122.0,0.2,Feb 27
Algeria,584,+73,35.0,+4,37.0,512,,13.0,0.8,Feb 24
Morocco,534,+55,33.0,+7,14.0,487,1.0,14.0,0.9,Mar 01
Bahrain,515,+16,4.0,,279.0,232,2.0,303.0,2.0,Feb 23
Lithuania,491,+31,7.0,,1.0,483,5.0,180.0,3.0,Feb 27
Armenia,482,+58,3.0,,30.0,449,15.0,163.0,1.0,Feb 29
Ukraine,480,+5,11.0,+1,6.0,463,,11.0,0.3,Mar 02
Hungary,447,+39,15.0,+2,34.0,398,6.0,46.0,2.0,Mar 03
Lebanon,446,+8,11.0,+1,35.0,400,3.0,65.0,2.0,Feb 20
Latvia,376,+29,,,1.0,375,3.0,199.0,,Mar 01
Bulgaria,359,+13,8.0,,17.0,334,13.0,52.0,1.0,Mar 06
Bosnia and Herzegovina,358,+35,9.0,+3,17.0,332,1.0,109.0,3.0,Mar 04
Slovakia,336,+22,,,7.0,329,1.0,62.0,,Mar 05
Andorra,334,,6.0,,6.0,322,10.0,4323.0,78.0,Mar 01
Costa Rica,314,,2.0,,3.0,309,6.0,62.0,0.4,Mar 04
Tunisia,312,,8.0,,2.0,302,10.0,26.0,0.7,Mar 01
Uruguay,310,+6,1.0,,,309,9.0,89.0,0.3,Mar 12
Taiwan,306,+8,5.0,+2,39.0,262,,13.0,0.2,Jan 20
Kazakhstan,302,+18,1.0,,21.0,280,,16.0,0.05,Mar 12
Moldova,298,+35,2.0,,15.0,281,44.0,74.0,0.5,Mar 06
North Macedonia,285,+26,7.0,+1,12.0,266,1.0,137.0,3.0,Feb 25
Azerbaijan,273,+64,4.0,,26.0,243,23.0,27.0,0.4,Feb 27
Jordan,268,+9,5.0,+2,26.0,237,3.0,26.0,0.5,Mar 01
Kuwait,266,+11,,,72.0,194,13.0,62.0,,Feb 23
Burkina Faso,246,+24,12.0,,31.0,203,,12.0,0.6,Mar 08
San Marino,230,+6,25.0,+3,13.0,192,16.0,6778.0,737.0,Feb 26
Cyprus,230,+16,7.0,+1,15.0,208,3.0,190.0,6.0,Mar 08
Réunion,224,+41,,,1.0,223,,250.0,,Mar 10
Albania,223,+11,11.0,+1,44.0,168,7.0,77.0,4.0,Mar 07
Vietnam,203,+9,,,55.0,148,3.0,2.0,,Jan 22
Oman,179,+12,,,29.0,150,3.0,35.0,,Feb 23
Afghanistan,170,+50,4.0,,2.0,164,,4.0,0.1,Feb 23
Cuba,170,+31,4.0,+1,4.0,162,2.0,15.0,0.4,Mar 10
Faeroe Islands,168,+9,,,70.0,98,1.0,3438.0,,Mar 03
Ivory Coast,165,,1.0,,4.0,160,,6.0,0.04,Mar 10
Senegal,162,+20,,,27.0,135,,10.0,,Mar 01
Malta,156,+5,,,2.0,154,4.0,353.0,,Mar 06
Ghana,152,,5.0,,2.0,145,1.0,5.0,0.2,Mar 11
Belarus,152,+58,,,32.0,120,2.0,16.0,,Feb 27
Uzbekistan,149,+5,2.0,,7.0,140,8.0,4.0,0.06,Mar 14
Channel Islands,141,+33,2.0,,,139,,811.0,12.0,Mar 08
Cameroon,139,,6.0,,5.0,128,,5.0,0.2,Mar 05
Honduras,139,+29,3.0,,3.0,133,4.0,14.0,0.3,Mar 10
Venezuela,129,+10,3.0,,39.0,87,6.0,5.0,0.1,Mar 12
Mauritius,128,+21,3.0,,,125,1.0,101.0,2.0,Mar 17
Brunei,127,+1,1.0,,38.0,88,3.0,290.0,2.0,Mar 08
Sri Lanka,122,+5,2.0,+1,15.0,105,5.0,6.0,0.09,Jan 26
Palestine,115,+6,1.0,,18.0,96,,23.0,0.2,Mar 04
Nigeria,111,,2.0,+1,3.0,106,,0.5,0.01,Feb 27
Cambodia,107,+4,,,21.0,86,1.0,6.0,,Jan 26
Guadeloupe,106,,4.0,,17.0,85,10.0,265.0,10.0,Mar 12
Georgia,100,+9,,,18.0,82,6.0,25.0,,Feb 25
Bolivia,97,+16,4.0,+3,,93,3.0,8.0,0.3,Mar 09
Kyrgyzstan,94,+10,,,3.0,91,,14.0,,Mar 17
Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
Montenegro,91,+6,1.0,,,90,1.0,145.0,2.0,Mar 16
Trinidad and Tobago,82,+4,3.0,,1.0,78,,59.0,2.0,Mar 11
Mayotte,82,+19,,,10.0,72,3.0,301.0,,Mar 13
DRC,81,,8.0,,2.0,71,,0.9,0.09,Mar 09
Rwanda,70,,,,,70,,5.0,,Mar 13
Gibraltar,69,+4,,,34.0,35,,2048.0,,Mar 02
Paraguay,64,+5,3.0,,1.0,60,3.0,9.0,0.4,Mar 06
Liechtenstein,62,+6,,,,62,,1626.0,,Mar 02
Kenya,50,+8,1.0,,1.0,48,2.0,0.9,0.02,Mar 12
Aruba,50,,,,1.0,49,,468.0,,Mar 12
Bangladesh,49,+1,5.0,,19.0,25,1.0,0.3,0.03,Mar 07
Monaco,49,+3,1.0,,1.0,47,,1249.0,25.0,Feb 27
Isle of Man,49,+7,,,,49,,576.0,,Mar 18
French Guiana,43,,,,6.0,37,,144.0,,Mar 06
Madagascar,39,,,,,39,,1.0,,Mar 19
Macao,38,+1,,,10.0,28,,59.0,,Jan 21
Guatemala,36,+2,1.0,,10.0,25,1.0,2.0,0.06,Mar 12
Jamaica,36,+4,1.0,,2.0,33,,12.0,0.3,Mar 09
French Polynesia,35,+5,,,,35,2.0,125.0,,Mar 10
Zambia,35,+6,,,,35,,2.0,,Mar 17
Barbados,33,,,,,33,,115.0,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
Togo,30,+5,1.0,,1.0,28,,4.0,0.1,Mar 05
El Salvador,30,+6,,,,30,5.0,5.0,,Mar 18
Mali,25,+7,2.0,+1,,23,,1.0,0.1,Mar 24
Ethiopia,23,+2,,,4.0,19,1.0,0.2,,Mar 12
Niger,22,+4,3.0,+2,,19,,0.9,0.1,Mar 18
Bermuda,22,,,,2.0,20,,353.0,,Mar 17
Guinea,22,+6,,,,22,,2.0,,Mar 12
Congo,19,,,,,19,,3.0,,Mar 14
Tanzania,19,+5,,,1.0,18,,0.3,,Mar 15
Djibouti,18,,,,,18,,18.0,,Mar 17
Maldives,17,,,,13.0,4,,31.0,,Mar 06
Saint Martin,15,+4,1.0,+1,2.0,12,,388.0,26.0,Feb 29
Haiti,15,,,,1.0,14,,1.0,,Mar 19
New Caledonia,15,,,,,15,,53.0,,Mar 17
Bahamas,14,,,,1.0,13,,36.0,,Mar 14
Myanmar,14,+4,,,,14,,0.3,,Mar 22
Cayman Islands,12,,1.0,,,11,,183.0,15.0,Mar 12
Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
Eritrea,12,,,,,12,,3.0,,Mar 20
Mongolia,12,,,,2.0,10,,4.0,,Mar 09
Curaçao,11,+3,1.0,,2.0,8,,67.0,6.0,Mar 12
Dominica,11,,,,,11,,153.0,,Mar 21
Namibia,11,,,,2.0,9,,4.0,,Mar 13
Greenland,10,,,,2.0,8,,176.0,,Mar 15
Syria,9,,1.0,,,8,,0.5,0.06,Mar 21
Grenada,9,,,,,9,,80.0,,Mar 21
Saint Lucia,9,,,,1.0,8,,49.0,,Mar 12
Eswatini,9,,,,,9,,8.0,,Mar 13
Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
Guinea-Bissau,8,+6,,,,8,,4.0,,Mar 24
Laos,8,,,,,8,,1.0,,Mar 23
Libya,8,,,,,8,,1.0,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Seychelles,8,,,,,8,,81.0,,Mar 13
Suriname,8,,,,,8,,14.0,,Mar 12
Angola,7,,2.0,,,5,,0.2,0.06,Mar 19
Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12
Zimbabwe,7,,1.0,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
Saint Kitts and Nevis,7,+5,,,,7,,132.0,,Mar 24
Sudan,6,,2.0,+1,,4,,0.1,0.05,Mar 12
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
Benin,6,,,,,6,,0.5,,Mar 15
Vatican City,6,,,,,6,,7491.0,,Mar 05
St. Barth,6,+1,,,1.0,5,,607.0,,Feb 29
Sint Maarten,6,,,,,6,,140.0,,Mar 17
Nepal,5,,,,1.0,4,,0.2,,Jan 23
Chad,5,+2,,,,5,,0.3,,Mar 18
Fiji,5,,,,,5,,6.0,,Mar 18
Mauritania,5,,,,2.0,3,,1.0,,Mar 12
Montserrat,5,,,,,5,,1002.0,,Mar 17
Turks and Caicos,5,+1,,,,5,,129.0,,Mar 22
Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16
Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
Bhutan,4,,,,,4,,5.0,,Mar 05
Belize,3,+1,,,,3,,8.0,,Mar 22
CAR,3,,,,,3,,0.6,,Mar 14
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133.0,,Mar 25
British Virgin Islands,2,,,,,2,,66.0,,Mar 24
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81470,+31,3304.0,+4,75700.0,2466,633.0,57.0,2.0,Jan 10
Total:,764866,"+41,476",36865.0,"+2,800",160148.0,567853,29432.0,98.1,4.7,
