"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
USA,164359,+515,3173.0,17.0,5507.0,155679,3512.0,497.0,10.0,Jan 20
Italy,101739,,11591.0,,14620.0,75528,3981.0,1683.0,192.0,Jan 29
Spain,94417,"+6,461",8189.0,473.0,19259.0,66969,5607.0,2019.0,175.0,Jan 30
Germany,67051,+166,651.0,6.0,15824.0,50576,1979.0,800.0,8.0,Jan 26
Iran,44605,"+3,110",2898.0,141.0,14656.0,27051,3703.0,531.0,35.0,Feb 18
France,44550,,3024.0,,7927.0,33599,5056.0,683.0,46.0,Jan 23
UK,22141,,1408.0,,135.0,20598,163.0,326.0,21.0,Jan 30
Switzerland,16176,+254,373.0,14.0,1823.0,13980,301.0,1869.0,43.0,Feb 24
Belgium,12775,+876,705.0,192.0,1696.0,10374,1021.0,1102.0,61.0,Feb 03
Netherlands,11750,,864.0,,250.0,10636,1053.0,686.0,50.0,Feb 26
Turkey,10827,,168.0,,162.0,10497,568.0,128.0,2.0,Mar 09
Austria,9876,+258,128.0,20.0,1095.0,8653,198.0,1097.0,14.0,Feb 24
S. Korea,9786,+125,162.0,4.0,5408.0,4216,55.0,191.0,3.0,Jan 19
Canada,7474,+26,92.0,3.0,1114.0,6268,120.0,198.0,2.0,Jan 24
Portugal,7443,"+1,035",160.0,20.0,43.0,7240,164.0,730.0,16.0,Mar 01
Israel,4831,+136,17.0,1.0,163.0,4651,83.0,558.0,2.0,Feb 20
Brazil,4661,+31,165.0,2.0,127.0,4369,296.0,22.0,0.8,Feb 24
Australia,4557,+97,19.0,,337.0,4201,28.0,179.0,0.7,Jan 24
Norway,4495,+50,34.0,2.0,13.0,4448,97.0,829.0,6.0,Feb 25
Sweden,4028,,146.0,,16.0,3866,306.0,399.0,14.0,Jan 30
Czechia,3002,+1,25.0,2.0,25.0,2952,64.0,280.0,2.0,Feb 29
Ireland,2910,,54.0,,5.0,2851,84.0,589.0,11.0,Feb 28
Denmark,2815,+238,90.0,13.0,1.0,2724,145.0,486.0,16.0,Feb 26
Malaysia,2766,+140,43.0,6.0,537.0,2186,94.0,85.0,1.0,Jan 24
Chile,2449,,8.0,,156.0,2285,14.0,128.0,0.4,Mar 02
Russia,2337,+501,17.0,8.0,121.0,2199,8.0,16.0,0.1,Jan 30
Romania,2245,+136,69.0,4.0,220.0,1956,36.0,117.0,4.0,Feb 25
Poland,2132,+77,31.0,,7.0,2094,50.0,56.0,0.8,Mar 03
Philippines,2084,+538,88.0,10.0,49.0,1947,1.0,19.0,0.8,Jan 29
Luxembourg,1988,,22.0,,80.0,1886,31.0,3176.0,35.0,Feb 28
Ecuador,1966,,62.0,,54.0,1850,58.0,111.0,4.0,Feb 28
Japan,1953,,56.0,,424.0,1473,56.0,15.0,0.4,Jan 14
Pakistan,1865,+148,25.0,4.0,76.0,1764,12.0,8.0,0.1,Feb 25
Thailand,1651,+127,10.0,1.0,342.0,1299,23.0,24.0,0.1,Jan 12
Indonesia,1528,+114,136.0,14.0,81.0,1311,,6.0,0.5,Mar 01
Saudi Arabia,1453,,8.0,,115.0,1330,12.0,42.0,0.2,Mar 01
Finland,1418,+66,13.0,,10.0,1395,49.0,256.0,2.0,Jan 28
South Africa,1326,,3.0,,31.0,1292,7.0,22.0,0.05,Mar 04
India,1251,,32.0,,102.0,1117,,0.9,0.02,Jan 29
Greece,1212,,46.0,,52.0,1114,72.0,116.0,4.0,Feb 25
Mexico,1094,+101,28.0,8.0,35.0,1031,1.0,8.0,0.2,Feb 27
Iceland,1086,,2.0,,157.0,927,25.0,3182.0,6.0,Feb 27
Panama,1075,,27.0,,9.0,1039,43.0,249.0,6.0,Mar 09
Argentina,966,+146,24.0,1.0,228.0,714,,21.0,0.5,Mar 02
Peru,950,,24.0,,53.0,873,49.0,29.0,0.7,Mar 05
Dominican Republic,901,,42.0,,4.0,855,,83.0,4.0,Feb 29
Singapore,879,,3.0,,228.0,648,19.0,150.0,0.5,Jan 22
Slovenia,802,+46,15.0,4.0,10.0,777,24.0,386.0,7.0,Mar 03
Colombia,798,,14.0,,15.0,769,29.0,16.0,0.3,Mar 05
Croatia,790,,6.0,,67.0,717,27.0,192.0,1.0,Feb 24
Serbia,785,,16.0,,42.0,727,62.0,90.0,2.0,Mar 05
Estonia,745,+30,4.0,1.0,26.0,715,13.0,562.0,3.0,Feb 26
Hong Kong,714,+31,4.0,,128.0,582,5.0,95.0,0.5,Jan 22
Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
